date,description,payee,amount,channel
2024-01-02 09:00,Groceries,Safeway,-50.69,card
2024-01-03 09:00,Groceries,Whole Foods,-43.07,card
2024-01-04 09:00,Utilities,City Power,-191.40,ach
2024-01-05 09:00,Salary,ACME Manufacturing,2400.0,direct_deposit
2024-01-09 09:00,Groceries,Whole Foods,-44.62,card
2024-01-10 09:00,Groceries,Starbucks,-47.55,card
2024-01-11 09:00,Utilities,City Water,-66.00,ach
2024-01-12 09:00,Salary,ACME Manufacturing,2412.0,direct_deposit
2024-01-16 09:00,Groceries,Coffee Bean,-43.12,card
2024-01-17 09:00,Groceries,Starbucks,-49.19,card
2024-01-18 09:00,Utilities,MobileOne,-69.46,ach
2024-01-19 09:00,Salary,ACME Manufacturing,2424.0,direct_deposit
2024-01-23 09:00,Groceries,Starbucks,-48.04,card
2024-01-24 09:00,Groceries,Starbucks,-47.99,card
2024-01-25 09:00,Utilities,City Power,-152.34,ach
2024-01-26 09:00,Salary,ACME Manufacturing,2436.0,direct_deposit
2024-01-30 09:00,Groceries,Coffee Bean,-50.04,card
2024-01-31 09:00,Groceries,Starbucks,-47.30,card
2024-02-01 09:00,Utilities,City Water,-106.34,ach
2024-02-02 09:00,Salary,ACME Manufacturing,2400.0,direct_deposit
2024-02-06 09:00,Groceries,Trader Joe's,-39.45,card
2024-02-07 09:00,Groceries,Starbucks,-45.03,card
2024-02-08 09:00,Utilities,City Water,-76.49,ach
2024-02-09 09:00,Salary,ACME Manufacturing,2412.0,direct_deposit
2024-02-13 09:00,Groceries,Starbucks,-41.28,card
2024-02-14 09:00,Groceries,Starbucks,-40.56,card
2024-02-15 09:00,Utilities,City Power,-150.30,ach
2024-02-16 09:00,Salary,ACME Manufacturing,2424.0,direct_deposit
2024-02-20 09:00,Groceries,Starbucks,-48.48,card
2024-02-21 09:00,Groceries,Coffee Bean,-54.72,card
2024-02-22 09:00,Utilities,ISP Fiber,-134.50,ach
2024-02-23 09:00,Salary,ACME Manufacturing,2436.0,direct_deposit
2024-02-27 09:00,Groceries,Coffee Bean,-44.07,card
2024-02-28 09:00,Groceries,Trader Joe's,-50.47,card
2024-02-29 09:00,Utilities,City Water,-73.10,ach
2024-03-01 09:00,Salary,ACME Manufacturing,2400.0,direct_deposit
2024-03-05 09:00,Groceries,Safeway,-32.91,card
2024-03-06 09:00,Groceries,Coffee Bean,-43.07,card
2024-03-07 09:00,Utilities,ISP Fiber,-157.43,ach
2024-03-08 09:00,Salary,ACME Manufacturing,2412.0,direct_deposit
2024-03-12 09:00,Groceries,Whole Foods,-50.60,card
2024-03-13 09:00,Groceries,Safeway,-50.22,card
2024-03-14 09:00,Utilities,City Water,-209.32,ach
2024-03-15 09:00,Salary,ACME Manufacturing,2424.0,direct_deposit
2024-03-19 09:00,Groceries,Coffee Bean,-55.64,card
2024-03-20 09:00,Groceries,Starbucks,-49.17,card
2024-03-21 09:00,Utilities,ISP Fiber,-114.42,ach
2024-03-22 09:00,Salary,ACME Manufacturing,2436.0,direct_deposit
2024-03-26 09:00,Groceries,Safeway,-38.45,card
2024-03-27 09:00,Groceries,Coffee Bean,-40.58,card
2024-03-28 09:00,Utilities,City Power,-194.39,ach
2024-03-29 09:00,Salary,ACME Manufacturing,2400.0,direct_deposit
2024-04-02 09:00,Groceries,Safeway,-37.25,card
2024-04-03 09:00,Groceries,Whole Foods,-47.44,card
2024-04-04 09:00,Utilities,ISP Fiber,-163.54,ach
2024-04-05 09:00,Salary,ACME Manufacturing,2412.0,direct_deposit
2024-04-09 09:00,Groceries,Coffee Bean,-45.72,card
2024-04-10 09:00,Groceries,Safeway,-52.78,card
2024-04-11 09:00,Utilities,City Power,-210.50,ach
2024-04-12 09:00,Salary,ACME Manufacturing,2424.0,direct_deposit
2024-04-16 09:00,Groceries,Safeway,-46.47,card
2024-04-17 09:00,Groceries,Whole Foods,-47.61,card
2024-04-18 09:00,Utilities,City Water,-182.92,ach
2024-04-19 09:00,Salary,ACME Manufacturing,2436.0,direct_deposit
2024-04-23 09:00,Groceries,Trader Joe's,-45.56,card
2024-04-24 09:00,Groceries,Coffee Bean,-39.97,card
2024-04-25 09:00,Utilities,City Power,-86.62,ach
2024-04-26 09:00,Salary,ACME Manufacturing,2400.0,direct_deposit
2024-04-30 09:00,Groceries,Coffee Bean,-35.16,card
2024-05-01 09:00,Groceries,Coffee Bean,-43.20,card
2024-05-02 09:00,Utilities,ISP Fiber,-173.02,ach
2024-05-03 09:00,Salary,ACME Manufacturing,2412.0,direct_deposit
2024-05-07 09:00,Groceries,Safeway,-42.59,card
2024-05-08 09:00,Groceries,Trader Joe's,-39.65,card
2024-05-09 09:00,Utilities,City Water,-73.28,ach
2024-05-10 09:00,Salary,ACME Manufacturing,2424.0,direct_deposit
2024-05-14 09:00,Groceries,Trader Joe's,-46.49,card
2024-05-15 09:00,Groceries,Coffee Bean,-50.35,card
2024-05-16 09:00,Utilities,City Water,-102.04,ach
2024-05-17 09:00,Salary,ACME Manufacturing,2436.0,direct_deposit
2024-05-21 09:00,Groceries,Whole Foods,-51.52,card
2024-05-22 09:00,Groceries,Starbucks,-52.88,card
